Id,Year,Total,White,Black or African American,American Indian or Alaskan Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Some other race,Two or more races
1500000US220710001001,2014,845,621,78,0,0,0,160,98,48
1500000US220710001002,2014,1278,822,379,0,0,0,59,0,77
1500000US220710001003,2014,547,494,33,0,0,0,42,8,12
1500000US220710002001,2014,462,93,369,0,0,0,36,0,0
1500000US220710002002,2014,751,186,519,0,0,0,71,11,35
1500000US220710003001,2014,528,44,484,0,0,0,0,0,0
1500000US220710003002,2014,578,81,492,0,0,0,10,5,0
1500000US220710004001,2014,1013,297,691,0,23,0,34,0,2
1500000US220710004002,2014,1447,3,1411,0,0,0,0,0,33
1500000US220710006011,2014,252,0,252,0,0,0,0,0,0
1500000US220710006012,2014,685,0,685,0,0,0,0,0,0
1500000US220710006021,2014,989,116,843,4,0,0,39,19,7
1500000US220710006022,2014,640,26,614,0,0,0,0,0,0
1500000US220710006023,2014,1331,83,1230,0,18,0,0,0,0
1500000US220710006031,2014,409,25,251,0,10,0,141,116,7
1500000US220710006032,2014,753,55,582,14,102,0,69,0,0
1500000US220710006041,2014,1694,274,1403,0,6,0,0,0,11
1500000US220710006042,2014,1800,401,1316,0,34,0,178,9,40
1500000US220710006043,2014,1209,13,1196,0,0,0,0,0,0
1500000US220710006051,2014,865,197,668,0,0,0,10,0,0
1500000US220710006052,2014,536,108,428,0,0,0,0,0,0
1500000US220710006053,2014,751,436,303,0,0,0,71,12,0
1500000US220710006061,2014,1783,877,793,0,35,0,239,0,78
1500000US220710006062,2014,1251,560,630,0,0,0,85,13,48
1500000US220710006063,2014,1521,480,976,0,65,0,26,0,0
1500000US220710006071,2014,957,430,527,0,0,0,0,0,0
1500000US220710006072,2014,1513,806,652,0,0,0,130,0,55
1500000US220710006073,2014,2059,1196,863,0,0,0,117,0,0
1500000US220710006111,2014,1475,9,1442,0,24,0,0,0,0
1500000US220710006112,2014,2892,117,1920,0,483,0,489,372,0
1500000US220710006121,2014,1528,895,336,27,114,0,82,81,75
1500000US220710006131,2014,1049,27,1009,0,0,0,0,0,13
1500000US220710006132,2014,1501,65,1415,0,0,0,64,21,0
1500000US220710006133,2014,2400,344,2047,0,9,0,25,0,0
1500000US220710006151,2014,1637,534,911,6,186,0,31,0,0
1500000US220710006152,2014,1871,445,1399,0,18,0,29,0,9
1500000US220710006161,2014,1009,334,675,0,0,0,22,0,0
1500000US220710006162,2014,1485,259,1200,0,26,0,8,0,0
1500000US220710006163,2014,1706,930,715,0,9,0,37,9,43
1500000US220710006171,2014,1186,259,927,0,0,0,0,0,0
1500000US220710006172,2014,2548,346,2162,20,20,0,8,0,0
1500000US220710006181,2014,1605,908,585,0,112,0,68,0,0
1500000US220710006182,2014,2319,584,1482,30,9,0,0,71,143
1500000US220710007011,2014,73,0,73,0,0,0,0,0,0
1500000US220710007012,2014,151,0,151,0,0,0,0,0,0
1500000US220710007013,2014,167,18,149,0,0,0,1,0,0
1500000US220710007014,2014,180,0,180,0,0,0,0,0,0
1500000US220710007021,2014,425,8,417,0,0,0,0,0,0
1500000US220710007022,2014,650,56,590,4,0,0,85,0,0
1500000US220710007023,2014,108,17,91,0,0,0,0,0,0
1500000US220710007024,2014,522,49,443,0,0,0,0,21,9
1500000US220710008001,2014,382,83,299,0,0,0,0,0,0
1500000US220710008002,2014,482,11,464,7,0,0,0,0,0
1500000US220710008003,2014,485,27,419,0,18,0,0,0,21
1500000US220710009011,2014,165,0,165,0,0,0,0,0,0
1500000US220710009012,2014,225,0,225,0,0,0,0,0,0
1500000US220710009013,2014,78,0,78,0,0,0,0,0,0
1500000US220710009014,2014,322,66,256,0,0,0,0,0,0
1500000US220710009021,2014,48,0,48,0,0,0,0,0,0
1500000US220710009022,2014,189,1,188,0,0,0,0,0,0
1500000US220710009023,2014,233,0,233,0,0,0,0,0,0
1500000US220710009024,2014,219,0,219,0,0,0,0,0,0
1500000US220710009031,2014,74,0,74,0,0,0,0,0,0
1500000US220710009032,2014,216,0,216,0,0,0,0,0,0
1500000US220710009033,2014,38,0,38,0,0,0,0,0,0
1500000US220710009034,2014,148,0,148,0,0,0,0,0,0
1500000US220710009041,2014,418,9,366,0,10,0,22,22,11
1500000US220710009042,2014,424,2,422,0,0,0,2,0,0
1500000US220710011001,2014,662,67,573,0,0,0,27,22,0
1500000US220710011002,2014,1028,862,92,8,7,0,21,21,38
1500000US220710011003,2014,0,0,0,0,0,0,0,0,0
1500000US220710012001,2014,504,411,65,0,0,0,16,0,28
1500000US220710012002,2014,416,287,99,0,0,0,10,0,30
1500000US220710012003,2014,669,570,51,0,0,0,5,0,48
1500000US220710013011,2014,729,72,651,0,0,0,0,0,6
1500000US220710013012,2014,361,225,122,0,8,0,0,0,6
1500000US220710013013,2014,324,59,248,0,0,0,0,0,17
1500000US220710013014,2014,264,0,264,0,0,0,0,0,0
1500000US220710013021,2014,406,11,395,0,0,0,6,0,0
1500000US220710013022,2014,483,45,429,0,9,0,0,0,0
1500000US220710014011,2014,250,0,250,0,0,0,0,0,0
1500000US220710014012,2014,162,1,161,0,0,0,0,0,0
1500000US220710014013,2014,284,0,284,0,0,0,0,0,0
1500000US220710014014,2014,274,9,261,0,0,0,0,4,0
1500000US220710014015,2014,138,0,87,0,0,0,0,51,0
1500000US220710014016,2014,140,0,140,0,0,0,0,0,0
1500000US220710014021,2014,584,69,446,0,0,0,30,0,69
1500000US220710014022,2014,189,43,146,0,0,0,0,0,0
1500000US220710014023,2014,333,7,312,0,0,0,14,0,14
1500000US220710014024,2014,662,1,661,0,0,0,0,0,0
1500000US220710015001,2014,532,65,459,0,0,0,0,4,4
1500000US220710015002,2014,306,88,209,0,0,0,21,9,0
1500000US220710016001,2014,0,0,0,0,0,0,0,0,0
1500000US220710017011,2014,918,67,833,0,0,0,17,0,18
1500000US220710017012,2014,534,18,511,0,0,0,0,0,5
1500000US220710017013,2014,498,9,489,0,0,0,9,0,0
1500000US220710017021,2014,1022,0,1022,0,0,0,25,0,0
1500000US220710017022,2014,838,9,829,0,0,0,35,0,0
1500000US220710017023,2014,478,79,399,0,0,0,0,0,0
1500000US220710017024,2014,644,339,173,0,132,0,2,0,0
1500000US220710017201,2014,615,0,539,0,9,0,0,9,58
1500000US220710017202,2014,654,0,633,0,0,0,21,21,0
1500000US220710017203,2014,1084,0,1084,0,0,0,0,0,0
1500000US220710017204,2014,1012,15,985,0,12,0,0,0,0
1500000US220710017221,2014,382,0,382,0,0,0,23,0,0
1500000US220710017222,2014,751,0,711,0,0,14,0,0,26
1500000US220710017223,2014,1057,0,1034,0,0,0,0,23,0
1500000US220710017224,2014,434,0,315,0,0,0,138,119,0
1500000US220710017225,2014,1012,62,937,0,0,0,0,7,6
1500000US220710017226,2014,245,0,245,0,0,0,25,0,0
1500000US220710017227,2014,329,0,329,0,0,0,0,0,0
1500000US220710017231,2014,863,25,656,0,66,0,0,0,116
1500000US220710017232,2014,1654,57,1560,0,4,0,0,15,18
1500000US220710017233,2014,902,40,862,0,0,0,0,0,0
1500000US220710017234,2014,1651,167,1484,0,0,0,0,0,0
